description,label
"We are looking for a Software Engineer with Python experience. Competitive salary and benefits.",0
"Urgent! Data Entry Job. Earn $500/day from home. No experience needed. Pay $50 registration fee.",1
"Marketing Intern needed. Assist with social media campaigns. Stipend provided.",0
"Immediate hiring for Back Office role. Send your bank details to secure your spot. High pay.",1
"Senior Java Developer required. 5+ years experience. Remote option available.",0
"Make money fast! Click ads and earn thousands. Join our WhatsApp group now.",1
"Graphic Designer wanted for a creative agency. Portfolio required.",0
"Work from home opportunities. Easy money. Just pay a small training fee to start.",1
"Product Manager role at a tech startup. Equity options available.",0
"Customer Service Representative. Night shift. Health insurance included.",0
"Part-time typing job. $20 per page. Contact via Telegram for payment details.",1
"Investment banking internship. Top tier firm. GPA 3.5+ required.",0
"Secret shopper needed. Keep the products you buy. Send money via Western Union.",1
"Administrative Assistant. Organize files and schedule meetings. $20/hour.",0
"Earn while you sleep! Crypto mining scheme. Guaranteed returns.",1
